ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,corr_sp500_60d,corr_kospi200_60d,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,avg_stress_ret_krw,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
PPA,etf,USD,0.195065,-0.139894,-0.020917,-0.033685,0.844009,0.830991,0.726118,-0.184201,0.000589,74516540607.35666,0.195065,-0.139894,-0.020917,-0.033685,0.844009,0.830991,0.726118,-0.184201,0.000589,0.569775,2.315192,20260311
QQQ,etf,USD,0.229579,-0.152563,-0.021462,-0.036458,1.203958,1.191276,0.954873,-0.458101,0.000471,54304596760002.58,0.229579,-0.152563,-0.021462,-0.036458,1.203958,1.191276,0.954873,-0.458101,0.000471,0.257531,0.947064,20260311
SHY,bond_etf,USD,0.097005,-0.088438,-0.008375,-0.017134,0.202907,0.191819,0.688757,-0.59696,0.000232,534241832039.15826,0.097005,-0.088438,-0.008375,-0.017134,0.202907,0.191819,0.688757,-0.59696,0.000232,0.052199,0.216163,20260311
SOL-USD,crypto,USD,0.889429,-0.673184,-0.062619,-0.089567,1.634171,1.354698,0.600317,-0.201272,0.013669,679081206194420.4,0.889429,-0.673184,-0.062619,-0.089567,1.634171,1.354698,0.600317,-0.201272,0.013669,-0.369153,-0.611775,20260311
SPY,etf,USD,0.180115,-0.134191,-0.019522,-0.033182,1.0,1.0,1.0,-0.479111,0.00059,83400613186666.56,0.180115,-0.134191,-0.019522,-0.033182,1.0,1.0,1.0,-0.479111,0.00059,0.20441,0.850894,20260311
TIP,bond_etf,USD,0.107846,-0.092381,-0.008666,-0.017131,0.238353,0.216608,0.686735,-0.556895,-0.000452,425090893332.7804,0.107846,-0.092381,-0.008666,-0.017131,0.238353,0.216608,0.686735,-0.556895,-0.000452,0.064907,0.332271,20260311
TLT,bond_etf,USD,0.176216,-0.140377,-0.012721,-0.021271,0.200415,0.115229,0.585448,-0.539254,-0.000621,4971757120341.5625,0.176216,-0.140377,-0.012721,-0.021271,0.200415,0.115229,0.585448,-0.539254,-0.000621,0.032505,0.01814,20260311
TSLA,us_stock,USD,0.597359,-0.234485,-0.051481,-0.079215,1.802682,1.780829,0.58866,-0.248136,-0.002338,41542680705616.664,0.597359,-0.234485,-0.051481,-0.079215,1.802682,1.780829,0.58866,-0.248136,-0.002338,0.538812,0.848624,20260311
UNH,us_stock,USD,0.324745,-0.617202,-0.036638,-0.0935,0.569733,0.52813,0.208169,-0.206191,-0.002529,3961688872679.656,0.324745,-0.617202,-0.036638,-0.0935,0.569733,0.52813,0.208169,-0.206191,-0.002529,-0.401872,-0.835059,20260311
USO,commodity_etf,USD,0.356086,-0.247877,-0.034279,-0.051382,0.515375,0.872924,0.144387,0.064178,-0.000878,1970411033369.56,0.356086,-0.247877,-0.034279,-0.051382,0.515375,0.872924,0.144387,0.064178,-0.000878,0.486685,1.196003,20260311
V,us_stock,USD,0.234909,-0.15573,-0.023687,-0.040254,0.877305,0.806009,0.494999,-0.3487,0.002397,3782824054427.0054,0.234909,-0.15573,-0.023687,-0.040254,0.877305,0.806009,0.494999,-0.3487,0.002397,-0.071242,-0.401472,20260311
VNQ,etf,USD,0.194644,-0.112439,-0.017037,-0.028654,0.768171,0.785347,0.641387,-0.384146,-0.000385,550766764460.1013,0.194644,-0.112439,-0.017037,-0.028654,0.768171,0.785347,0.641387,-0.384146,-0.000385,0.065914,0.202534,20260311
VTI,etf,USD,0.183262,-0.136095,-0.019902,-0.033237,1.012968,1.006518,0.997591,-0.464215,0.000579,3074804590112.8657,0.183262,-0.136095,-0.019902,-0.033237,1.012968,1.006518,0.997591,-0.464215,0.000579,0.206236,0.856711,20260311
VXUS,etf,USD,0.161632,-0.121369,-0.015169,-0.02706,0.73913,0.726521,0.838077,-0.314151,0.000349,1152710094668.3562,0.161632,-0.121369,-0.015169,-0.02706,0.73913,0.726521,0.838077,-0.314151,0.000349,0.296398,1.558733,20260311
XLE,etf,USD,0.275024,-0.199312,-0.025704,-0.044393,0.772288,0.992583,0.361676,0.008176,-0.001269,3906806842509.893,0.275024,-0.199312,-0.025704,-0.044393,0.772288,0.992583,0.361676,0.008176,-0.001269,0.330686,1.108596,20260311
XLP,etf,USD,0.157314,-0.091776,-0.015898,-0.025834,0.530592,0.540135,0.442199,-0.372735,-0.000975,2488623226120.116,0.157314,-0.091776,-0.015898,-0.025834,0.530592,0.540135,0.442199,-0.372735,-0.000975,0.075977,0.271681,20260311
XLU,etf,USD,0.184977,-0.079573,-0.018186,-0.027086,0.548642,0.532988,0.484881,-0.332219,-0.000268,1652371122214.9956,0.184977,-0.079573,-0.018186,-0.027086,0.548642,0.532988,0.484881,-0.332219,-0.000268,0.254623,1.292596,20260311
XLV,etf,USD,0.164592,-0.167088,-0.019557,-0.030056,0.651149,0.62555,0.647828,-0.529975,0.000689,2989320532229.1396,0.164592,-0.167088,-0.019557,-0.030056,0.651149,0.62555,0.647828,-0.529975,0.000689,0.056939,0.135502,20260311
XOM,us_stock,USD,0.281709,-0.204821,-0.02831,-0.042178,0.641751,0.830985,0.266648,0.02369,-0.001213,3978469470197.6655,0.281709,-0.204821,-0.02831,-0.042178,0.641751,0.830985,0.266648,0.02369,-0.001213,0.422887,1.437497,20260311
XRP-USD,crypto,USD,0.811098,-0.639381,-0.05217,-0.08237,1.175348,0.960447,0.540699,-0.058191,0.006641,7836162994623.016,0.811098,-0.639381,-0.05217,-0.08237,1.175348,0.960447,0.540699,-0.058191,0.006641,-0.312892,-0.533629,20260311
